key	nonce	ru
dir	desc	Власть принадлежит народу: все участники википроекта вне зависимости от технического статуса имеют возможность активно влиять на происходящие на вики процессы. Все инициированные народом решения принимаются регулярно на референдумах и имеют прямой характер.
dir*	desc	Усовершенствованный вариант прямой демократии, который означает использование новых методов голосования на референдумах, таких как «Голосования по очкам» (Score Voting, STAR Voting) для того, чтобы лучше понять мнение большинства.
rep	desc	Источником власти признаётся народ, однако управление википроектом делегируется представителям — избираемым участниками экспертам, которые выражают интересы народа и принимают все важные решения коллективно.
cons	desc	Власть разделена между народом и администрацией с соблюдением баланса сил. Все решения принимаются участниками и администраторами на народных обсуждениях на основе общего согласия без проведения голосования.
min	desc	В сообществе сильно развито самоуправление: народ самостоятельно принимает ключевые решения по вопросам вики без влияния администрации, которая, напротив, обладает минимальными полномочиями и почти ничего не регулирует.
cont	desc	Контроль и регулирование общения пользователей. Сильные ограничения на то, какие слова можно употреблять, соблюдение этикета, чистка и цензура мата, грубых слов и прочего непристойного и неприемлемого контента.
moder	desc	Умеренные ограничения на общение пользователей, частичная легализация мата, наличие цензуры на слишком грубые и неприемлемые выражения; поощрение участников грамотности и этикету.
just	desc	Запрет, в первую очередь, языка вражды, хейтспича и прочих оскорбительных фраз, направленных на угнетение и дискриминацию людей по разным признакам, которые могут сильно их обидеть; оказание этим людям поддержки.
obs	desc	Отсутствие запрета на обсценную лексику, включая мат, грубые и вульгарные слова, поощрение свободного общения, но, тем не менее, наличие минимальных ограничений на то, как пользователи могут выражаться.
free	desc	Право каждого участника свободно общаться и выражаться так, как он хочет, без регулирования, контроля и цензуры со стороны администрации. Отсутствие каких-либо запретов на матерные, жаргонные и вульгарные слова и прочий контент.
retrib	desc	Лучшим ответом на нарушение правил является наказание. Предупреждение будущих нарушений или реабилитация нарушителя — это не важно. Главное — наказать виновного в полной мере, так как тот, кто совершает преступление, заслуживает, чтобы с ним обращались соответственно.
det	desc	Для поддержания надлежащего уровня безопасности необходимо соблюдать порядок. Роль правосудия должна быть сдерживающей как для нарушителей (чтобы избежать рецидивизма), так и для остальных (делая нарушителей примерами, которым не стоит следовать).
warn	desc	Роль правосудия — не сдерживать участников от нарушений, а просто временно ограничивать их возможности, когда их слишком сильно заносит. Поддержание умеренного порядка и выдача предупреждений нарушителям, как более мягкой меры по сравнению с перманентный баном.
rehab	desc	Роль правосудия должна заключаться в том, чтобы исправить, перевоспитать, реинтегрировать нарушителей в общество, поставить виновных на правильный путь, заставив их понять, почему они не должны делать то, что сделали, и почему они были наказаны.
decn	desc	Отсутствие единой системы правосудия и наказания нарушителей. Участники смогут разобраться с этим самостоятельно в каждом отдельно взятом случае: простить нарушителю всё и реабилитировать, либо же жёстко наказать перманентный баном.
iso	desc	Полная изоляция сообщества википроекта, игнорирование внешнего мира, отсутствие каких-либо контактов и связей с участниками других вики, отказ к заключению дружбы и тем более, вступлению в викисоюз.
sov	desc	Википроект должен иметь абсолютное право контролировать свои правила и политику, сохранять свой статус самостоятельности и независимости. Возможна умеренная открытость и наличие минимальных связей с другими википроектами, но не более.
pop	desc	Во внешней политике на первом месте стоят интересы одного википроекта. Для продвижения личных интересов вики может заключить дружбу с другими участниками и помочь им, но только для того, чтобы чтобы расширить своё влияние и заполучить популярность.
pop*	desc	Готовность википроекта делать всё, что в его силах, чтобы расширить своё влияние и улучшить себя. Это может включать интервенцию в дела других независимых википроектов и установления там подконтрольного режима.
friend	desc	Открытость и дружелюбие википроекта к другим вики, забота не только о своих интересах, но и об интересах других пользователей. Википроекты должны дружить и помогать друг другу, а также оказывать помощь нуждающимся проектам, когда это необходимо.
friend*	desc	Высшая форма викидружбы, которая подразумевает объединение нескольких дружественных проектов в один союз. Это включает в себя активное сотрудничество пользователей, организацию совместной работы, обмен опытом, коллективное принятие решений и следование единым правилам.
voting		Голосование
voting	0	Голосование — действительно ненужный процесс, прихоти масс не имеют значения.
voting	1	Голосования могут проводиться, но только среди узкого круга членов администрации, не более.
voting	2	Те, кто вносит больший вклад в развитие википроекта, заслуживают получить дополнительные статусы и больший вес от своего голоса.
voting	3	Голосование — важный элемент демократии. Каждый участник должен иметь голос, и все голоса должны учитываться одинаково.
voting	4	Мы должны принимать решения демократически, на основе общего согласия участников, без проведения голосования. Нам нужны аргументированные мнения, а не простые голоса «за» или «против».
votingreform		Реформа референдумов
votingreform	0	Мы должны реформировать референдумы, введя компетентностный или другой коэффициент, чтобы голос более активного или более статусного участника весил больше, чем голос обычного пользователя.
votingreform	1	Мы должны сделать референдумы открытыми для всех, чтобы участники могли свободно в любое время собираться и решать все вопросы, которые они хотят, без каких-либо ограничений.
votingreform	2	Мы должны участить проведение референдумов, а также создать план или расписание всех ближайших голосований, чтобы участники были в курсе о них, и таким образом мы сможем привлечь большие массы народа к участию в референдумах.
votingreform	3	Мы должны создать систему на референдумах, когда участник может делегировать свой голос другому, более экспертному пользователю, и быть уверенным в том, что он представляет его интересы.
votingreform	4	Мы должны использовать усовершенствованные методы голосований, такие как «Голосования по очкам» (Score Voting, STAR Voting) для того, чтобы лучше понять мнение большинства.
votingreform	5	Мы должны провести реформу, чтобы референдумы больше походили на обсуждения, а не на голосования, чтобы общественное мнение формировалось в рамках рационального и аргументированного публичного дискурса, направленного на достижение консенсуса.
votingreform	6	Референдумы должны быть отменены, так как закон не должен определяться мнением народа.
concentration		Концентрация власти
concentration	0	Власть должна быть децентрализована для всех, а важные решения в конечном итоге должны приниматься на частых референдумах. Люди обычно знают, чего они хотят, и способны разобраться в вопросах при небольшом объяснении.
concentration	1	Власть должна быть сосредоточена в зависимости от активности/статусности пользователя. Участники, которые активнее работают на вики, должны иметь более высокий статус и больше влияния, в отличие от тех, кто не занимается активностью.
concentration	2	Никто сверху не должен нами командовать, у нас должна быть свобода самим решать, что правильно, а что неправильно.
concentration	3	Нам прежде всего нужен один единственный лидер, который мог бы править неограниченно долго и быть способным полностью понять общую картину. Не заботясь о том, что думает народ, лидер может принимать лучшие решения самостоятельно.
concentration	4	Власть должна быть сконцентрирована в руках администрации, все члены которой в узком кругу могут принимать правильные решения коллективно.
concentration	5	Власть должна быть распределена между всеми через аналог парламента, в составе которого достаточно людей, чтобы представлять взгляды каждого участника. Администраторы должны разбираться в проблемах, слушать экспертов и оценивать общую картину.
concentration	6	Власть должна быть распределена между участниками и администрацией, чтобы и те, и другие могли иметь возможность выслушать друг друга, предложить каждый свой вариант и принять достойные решения на народных обсуждениях.
trait		Самые важные черты лидера
trait	0	Мы должны сами принимать решения, нам не нужен лидер над нами.
trait	1	Самые важные качества лидера — смелость и сила. Нам нужен человек, который будет принимать необходимые решения, даже если они непопулярны.
trait	2	Самые важные качества лидера — эмпатия и отзывчивость. Нам нужен человек, который способен понять наши проблемы и решить их так, как хочет большинство.
trait	3	Самые важные качества лидера — звание и опыт. Нам нужен человек, который знает административные функции и обладает лучшими в сравнении с другими людьми умениями управления википроектом.
trait	4	Самые важные качество лидера — ум и интеллект. Нам нужен человек, способный понимать проблемы и находить пути их решения.
leaderselect		Выбор лидера
leaderselect	0	Лидеры не должны меняться, потому что у нас должен быть всего один единственный бюрократ с бессрочным сроком правления, принимающий все решения сам.
leaderselect	1	Лидеры должны назначаться действующей администрацией на основе заслуг, чтобы у нас всегда было компетентное руководство.
leaderselect	2	Лидеры должны выбираться, но не напрямую путём всенародного голосования. Оно должно быть взвешенным, чтобы мнение более активных и статусных участников имело бóльшую долю.
leaderselect	3	Лидеры должны быть выбраны на демократических выборах участниками википроекта, который они возглавят.
leaderselect	4	Лидеры должны быть выбраны демократически при помощи обсуждения, а не голосования, которое направлено скорее на соперничество, чем на сотрудничество.
leaderselect	5	У нас не должно быть единого лидера, который выбирается любым способом.
policysetting		Полномочия для установления политики
policysetting	0	Администрация википроекта должна обладать большинством полномочий по принятию решений и, как правило, создавать политику.
policysetting	1	Избранная на референдуме административная власть должна представлять интересы большинства и определять политику википроекта.
policysetting	2	Избранная на народном обсуждении административная власть должна стремиться удовлетворить желания всех, а не навязывать мнение большинства всему народу.
policysetting	3	Власть должна принадлежать непосредственно народу, который должен инициировать принятие решений путём голосования по инициативе участников.
policysetting	4	Власть должна принадлежать только самым активным и статусным участникам, поскольку они, как правило, наиболее способные и вносят наибольший вклад в развитие википроекта.
policysetting	5	Полномочия администрации должны быть минимальными, мы должны быть свободны в своих решениях и действиях на вики.
peoplepolicy		Роль участников в управлении вики
peoplepolicy	0	Сообщество, как коллектив, обычно может понимать и принимать хорошие решения в отношении политики с небольшим количеством объяснений, чтобы иметь возможность напрямую решать, чего они хотят.
peoplepolicy	1	Активные участники, обладающие статусами, как правило, знают, чего они хотят, и имеют хорошее мнение, но обычные пользователи редко знают, что для них хорошо.
peoplepolicy	2	Большинство участников в целом имеет плохое мнение, и администрации было бы лучше обойтись без него.
peoplepolicy	3	Участники должны иметь обладать правами и иметь рычаги управления википроектом, но администрация должна стараться избегать тирании большинства, предлагая варианты решений, стремящиеся удовлетворить максимальное число предпочтений.
peoplepolicy	4	В сообществе должно быть сильно развито самоуправление. Участникам не нужно навязывать чьё-то мнение, они сами отлично знают, чего хотят, и могут принимать хорошие решения самостоятельно.
peoplepolicy	5	Сообщество обычно знает, чего оно хочет, но нельзя ожидать, что у участников будет время на изучение и голосование по каждому вопросу, поэтому следует делегировать это представителям, более экспертным участникам.
representation		Представители
representation	0	Я не хочу представительства, я хочу, чтобы каждый участник мог представлять свои интересы самостоятельно, без влияния администрации.
representation	1	Я хочу иметь лидеров, которые будут представлять интересы народа, даже если они лично с ним не согласны.
representation	2	Я хочу иметь лидеров, которые будут стремиться к приемлемому для всех решению, используя компромисс и другие методы, а не отстаивать мнение большинства, которое часто бывает в ущерб меньшинству.
representation	3	У нас должен быть один неизбираемый правитель, который представляет интересы народа от своего лица.
representation	4	Я не хочу представительства, представители мешают демократии, я хочу иметь возможность голосовать напрямую по большинству вопросов на референдумах.
representation	5	Интересы народа не должны быть представлены так сильно, как интересы администрации, или небольшой группы статусных участников.
A		Выберите вариант, который вам ближе всего
BL		Нажмите ?, если предпочтение незначительное
BR		Нажмите ✓, если это определённо ваше предпочтение
all		Все
home		Главная страница
values		Возможные значения
